N,n,seed_a,seed_b,d_l2
40,0.85,114000,114001,0.0009603443776282555
40,0.85,114000,114002,0.0009328610413642656
40,0.85,114000,114003,0.00036042382810579386
40,0.85,114000,114004,0.0005042319324219293
40,0.85,114000,114005,0.0008851127468531034
40,0.85,114000,114006,0.0002805773812138392
40,0.85,114000,114007,0.0004965868659578421
40,0.85,114000,114008,0.0004180568036636079
40,0.85,114000,114009,0.0003358163506732192
40,0.85,114001,114002,0.0018796818758989554
40,0.85,114001,114003,0.0013040502595594021
40,0.85,114001,114004,0.0013729029306095454
40,0.85,114001,114005,0.0018337191103176902
40,0.85,114001,114006,0.0007240262773668537
40,0.85,114001,114007,0.0012454992939948271
40,0.85,114001,114008,0.0013438879436970708
40,0.85,114001,114009,0.0012849619713963016
40,0.85,114002,114003,0.0006132879273777188
40,0.85,114002,114004,0.0005765300429219391
40,0.85,114002,114005,0.00011013110091301627
40,0.85,114002,114006,0.0011762140347315337
40,0.85,114002,114007,0.0008426821297427583
40,0.85,114002,114008,0.0005856590090234598
40,0.85,114002,114009,0.0006049933926762712
40,0.85,114003,114004,0.0002975706023906232
40,0.85,114003,114005,0.0005476328929688206
40,0.85,114003,114006,0.0006265541444397849
40,0.85,114003,114007,0.0003857074680565833
40,0.85,114003,114008,0.00010634999538755879
40,0.85,114003,114009,0.0001351077574512228
40,0.85,114004,114005,0.0005228037842991646
40,0.85,114004,114006,0.0007319942020863423
40,0.85,114004,114007,0.00036472227378630986
40,0.85,114004,114008,0.00022587088293453625
40,0.85,114004,114009,0.00028917273543667264
40,0.85,114005,114006,0.001137623217045288
40,0.85,114005,114007,0.0007596477512086772
40,0.85,114005,114008,0.0005130752024809906
40,0.85,114005,114009,0.0005589131291554628
40,0.85,114006,114007,0.0007204355639917848
40,0.85,114006,114008,0.0006857066221686464
40,0.85,114006,114009,0.0005820908718713849
40,0.85,114007,114008,0.00031846195827484687
40,0.85,114007,114009,0.00046746164183839376
40,0.85,114008,114009,0.00019580000332846615
